iter	RMSE
0	8.539218798
1	8.465505656
2	8.402226031
3	8.335526498
4	8.277448148
5	8.211994426
6	8.144533998
7	8.076257604
8	8.016644565
9	7.964844477
10	7.907648035
11	7.861500191
12	7.807061978
13	7.737225463
14	7.686733963
15	7.650471552
16	7.602100382
17	7.564572252
18	7.526215301
19	7.471446337
20	7.429716419
21	7.385712451
22	7.343384285
23	7.294326974
24	7.257176251
25	7.212267224
26	7.183284873
27	7.15218376
28	7.117040216
29	7.069435571
30	7.036043532
31	7.00758935
32	6.965861307
33	6.915190102
34	6.872026935
35	6.842916661
36	6.805588423
37	6.778845149
38	6.752419969
39	6.729609576
40	6.700863957
41	6.671731785
42	6.640942603
43	6.614690649
44	6.598236436
45	6.567749476
46	6.537178913
47	6.502939949
48	6.467983823
49	6.440717905
50	6.402248592
51	6.370830351
52	6.348680646
53	6.321648918
54	6.295736071
55	6.261722587
56	6.231508229
57	6.204726513
58	6.182500065
59	6.15933112
60	6.137990434
61	6.106190379
62	6.088282234
63	6.067133278
64	6.044314411
65	6.010934889
66	5.989763571
67	5.964758829
68	5.947842574
69	5.92357832
70	5.890486874
71	5.866515953
72	5.852565244
73	5.823847644
74	5.804977534
75	5.785769692
76	5.764284811
77	5.737545676
78	5.712617431
79	5.692792883
80	5.676256104
81	5.656066396
82	5.627947917
83	5.61473269
84	5.600018244
85	5.588215417
86	5.559214437
87	5.540472474
88	5.523594971
89	5.502035269
90	5.476684178
91	5.457466941
92	5.441326119
93	5.430644308
94	5.417159518
95	5.401538488
96	5.385942751
97	5.377316755
98	5.358773897
99	5.347828955
100	5.328685585
101	5.320000188
102	5.297646929
103	5.282230607
104	5.26989289
105	5.259942793
106	5.241368239
107	5.230166879
108	5.215188229
109	5.196591744
110	5.186187067
111	5.162995835
112	5.146868668
113	5.1340031
114	5.118239484
115	5.100516453
116	5.083855359
117	5.074761372
118	5.059947544
119	5.052321974
120	5.028608132
121	5.007391493
122	4.985244977
123	4.971482179
124	4.959410838
125	4.952449
126	4.939890759
127	4.926092893
128	4.916949825
129	4.903361999
130	4.89275816
131	4.877010357
132	4.856541112
133	4.836487685
134	4.819192929
135	4.801285976
136	4.791180592
137	4.778063948
138	4.758543046
139	4.741127807
140	4.729420626
141	4.719425514
142	4.705904667
143	4.68937642
144	4.66993947
145	4.652529993
146	4.634392745
147	4.624031052
148	4.603701477
149	4.593290673
150	4.572617162
151	4.561183813
152	4.543672044
153	4.531383171
154	4.519629181
155	4.508112406
156	4.493870808
157	4.482770197
158	4.467820325
159	4.458794022
160	4.438421291
161	4.426402093
162	4.40943549
163	4.391280949
164	4.379312607
165	4.364500545
166	4.352076805
167	4.345877254
168	4.338518266
169	4.324762865
170	4.311075351
171	4.295349944
172	4.276238981
173	4.260591031
174	4.254865829
175	4.236253932
176	4.223831054
177	4.211733743
178	4.197784802
179	4.183917097
180	4.176787933
181	4.163386544
182	4.149482509
183	4.132237938
184	4.129241741
185	4.11030923
186	4.093206715
187	4.079282973
188	4.067510255
189	4.049605272
190	4.034074576
191	4.02233226
192	4.016293689
193	4.00193199
194	3.988549849
195	3.966534476
196	3.957222287
197	3.946323932
198	3.940857161
199	3.932358868
200	3.925692012
201	3.920857083
202	3.91377519
203	3.902013176
204	3.893019858
205	3.88396447
206	3.875055176
207	3.861189047
208	3.852996542
209	3.843173212
210	3.827909002
211	3.817409258
212	3.807129074
213	3.794753367
214	3.782498489
215	3.771017525
216	3.760835756
217	3.757746144
218	3.754584774
219	3.7447558
220	3.736609582
221	3.725206653
222	3.714431907
223	3.710018279
224	3.699182386
225	3.687975366
226	3.680880948
227	3.671411758
228	3.653037258
229	3.640739009
230	3.634656091
231	3.61949475
232	3.615963978
233	3.613197654
234	3.604901568
235	3.59030375
236	3.582686365
237	3.579346647
238	3.568820714
239	3.557043378
240	3.550041074
241	3.548124002
242	3.544341159
243	3.538961804
244	3.52883399
245	3.519416806
246	3.517514523
247	3.505036738
248	3.494899896
249	3.492482468
250	3.489959711
251	3.475634315
252	3.473550882
253	3.467659499
254	3.459312407
255	3.442372146
256	3.427181877
257	3.416635668
258	3.402063903
259	3.386074053
260	3.375993619
261	3.368976186
262	3.358308916
263	3.341738105
264	3.331211724
265	3.315770506
266	3.303984999
267	3.292368522
268	3.277097603
269	3.275488927
270	3.27386747
271	3.263162102
272	3.257996104
273	3.248897658
274	3.235021281
275	3.222387159
276	3.209370188
277	3.207895821
278	3.201674947
279	3.199954989
280	3.19038669
281	3.183057271
282	3.181000672
283	3.17916159
284	3.177802148
285	3.173795425
286	3.171478283
287	3.161102998
288	3.153570546
289	3.141121817
290	3.124531029
291	3.113682455
292	3.105051259
293	3.101361981
294	3.089161392
295	3.087601987
296	3.080098652
297	3.064887014
298	3.064056707
299	3.049773901
300	3.041908018
301	3.031380255
302	3.023431983
303	3.021724389
304	3.012912433
305	3.003826925
306	3.00229376
307	2.986915423
308	2.978708001
309	2.968603651
310	2.959915263
311	2.955278237
312	2.949042057
313	2.947821034
314	2.946222332
315	2.938627957
316	2.931925291
317	2.924246774
318	2.922977887
319	2.9142968
320	2.904415617
321	2.895435855
322	2.887691786
323	2.880047422
324	2.871860317
325	2.857736514
326	2.855685178
327	2.854181465
328	2.85261287
329	2.843810624
330	2.833532228
331	2.827536469
332	2.816067262
333	2.81471949
334	2.802445363
335	2.801113448
336	2.795136619
337	2.779855398
338	2.774310403
339	2.761082484
340	2.751911138
341	2.745548019
342	2.736568734
343	2.723781251
344	2.712309033
345	2.70624978
346	2.700985967
347	2.693275436
348	2.68868574
349	2.678105274
350	2.667273898
351	2.66172914
352	2.660756575
353	2.654062117
354	2.642921085
355	2.636338939
356	2.626795262
357	2.615309272
358	2.614250588
359	2.606509113
360	2.600900381
361	2.59637143
362	2.585467291
363	2.575842838
364	2.569309601
365	2.563599029
366	2.557651256
367	2.551943982
368	2.543184
369	2.537507755
370	2.528684025
371	2.521055828
372	2.511996676
373	2.51090707
374	2.503075402
375	2.501850331
376	2.498948649
377	2.493605681
378	2.489380573
379	2.484155634
380	2.483071443
381	2.478621916
382	2.470196836
383	2.464259525
384	2.45882024
385	2.458173763
386	2.4572076
387	2.456553734
388	2.454060416
389	2.446319914
390	2.437098445
391	2.434600072
392	2.433958754
393	2.42460863
394	2.423413898
395	2.414427995
396	2.413430968
397	2.40310046
398	2.393000045
399	2.388439939
400	2.387311528
401	2.38625059
402	2.377357753
403	2.368581131
404	2.361692561
405	2.357386618
406	2.344978856
407	2.334110784
408	2.333283634
409	2.325371088
410	2.317756175
411	2.308172651
412	2.298280725
413	2.291269237
414	2.284014927
415	2.277628212
416	2.275729615
417	2.268078551
418	2.258815395
419	2.255329826
420	2.245412846
421	2.240326535
422	2.239155596
423	2.238636325
424	2.237781661
425	2.227766669
426	2.220383847
427	2.213668087
428	2.205624304
429	2.20495938
430	2.204529669
431	2.200285372
432	2.190128442
433	2.181309971
434	2.179861394
435	2.171349804
436	2.170648501
437	2.163327263
438	2.156190844
439	2.146735159
440	2.140430347
441	2.139721354
442	2.133486446
443	2.132471321
444	2.123357465
445	2.119614515
446	2.110907771
447	2.103996896
448	2.095844558
449	2.09120815
450	2.085917976
451	2.079499881
452	2.070316259
453	2.066249735
454	2.062617225
455	2.056691911
456	2.048771755
457	2.042599856
458	2.037091694
459	2.031972006
460	2.024344586
461	2.015834191
462	2.009856122
463	2.006759088
464	2.005928013
465	1.999283837
466	1.995034948
467	1.991851598
468	1.991330319
469	1.985212317
470	1.983970147
471	1.974826488
472	1.969337099
473	1.965874344
474	1.964959727
475	1.95935099
476	1.952627846
477	1.946520761
478	1.939541449
479	1.934430529
480	1.933876503
