iter	Passed	Remaining
0	142	142640
1	147	73575
2	152	50826
3	156	38922
4	158	31560
5	161	26704
6	163	23168
7	165	20553
8	168	18522
9	170	16875
10	172	15519
11	175	14410
12	177	13464
13	180	12705
14	183	12023
15	185	11438
16	188	10895
17	191	10425
18	193	9994
19	196	9630
20	198	9271
21	201	8946
22	203	8647
23	206	8386
24	209	8154
25	211	7926
26	213	7708
27	214	7454
28	217	7280
29	220	7132
30	223	6997
31	226	6862
32	230	6751
33	232	6617
34	236	6515
35	240	6430
36	242	6322
37	245	6219
38	248	6120
39	251	6028
40	253	5935
41	256	5843
42	258	5751
43	260	5669
44	263	5588
45	265	5506
46	268	5446
47	271	5386
48	272	5295
49	275	5230
50	277	5167
51	280	5114
52	283	5071
53	286	5021
54	289	4971
55	291	4921
56	294	4874
57	297	4830
58	300	4793
59	303	4751
60	306	4717
61	309	4678
62	312	4649
63	315	4616
64	318	4586
65	322	4563
66	325	4535
67	329	4512
68	341	4613
69	344	4578
70	346	4536
71	349	4499
72	351	4466
73	354	4433
74	357	4403
75	359	4370
76	362	4341
77	364	4307
78	367	4279
79	369	4246
80	371	4219
81	374	4189
82	376	4162
83	379	4133
84	381	4103
85	383	4077
86	386	4052
87	388	4028
88	392	4022
89	398	4027
90	401	4014
91	407	4017
92	410	4005
93	414	3991
94	417	3973
95	419	3952
96	422	3933
97	425	3912
98	427	3891
99	429	3869
100	432	3851
101	435	3832
102	437	3813
103	441	3803
104	444	3787
105	447	3772
106	450	3761
107	453	3742
108	455	3724
109	458	3708
110	461	3698
111	464	3683
112	467	3670
113	469	3651
114	472	3636
115	476	3628
116	478	3613
117	481	3598
118	483	3582
119	486	3566
120	488	3549
121	491	3535
122	493	3520
123	496	3505
124	498	3492
125	501	3479
126	504	3467
127	507	3454
128	510	3444
129	512	3430
130	515	3418
131	517	3404
132	520	3395
133	524	3387
134	527	3377
135	530	3369
136	533	3357
137	536	3351
138	539	3343
139	542	3335
140	545	3324
141	548	3316
142	552	3309
143	555	3301
144	558	3294
145	562	3291
146	566	3285
147	569	3279
148	572	3272
149	576	3264
150	578	3254
151	582	3248
152	585	3242
153	588	3235
154	593	3233
155	597	3230
156	600	3223
157	602	3213
158	606	3206
159	609	3200
160	613	3196
161	616	3189
162	620	3184
163	623	3176
164	626	3168
165	629	3163
166	633	3160
167	636	3153
168	640	3148
169	643	3140
170	645	3131
171	648	3123
172	651	3115
173	655	3109
174	658	3103
175	662	3102
176	665	3096
177	669	3092
178	672	3083
179	675	3078
180	678	3071
181	681	3063
182	684	3056
183	688	3051
184	691	3044
185	693	3036
186	697	3030
187	699	3023
188	703	3019
189	707	3014
190	710	3008
191	712	3000
192	717	3001
193	721	2999
194	728	3006
195	731	3001
196	735	2996
197	738	2989
198	741	2984
199	744	2977
200	747	2972
201	751	2969
202	754	2962
203	757	2957
204	760	2950
205	763	2943
206	766	2936
207	769	2930
208	773	2926
209	775	2918
210	778	2912
211	782	2908
212	786	2904
213	789	2900
214	792	2895
215	796	2890
216	799	2886
217	803	2883
218	807	2878
219	810	2874
220	813	2868
221	816	2862
222	820	2857
223	823	2853
224	826	2848
225	829	2841
226	832	2836
227	836	2832
228	839	2826
229	842	2820
230	845	2816
231	849	2811
232	852	2806
233	855	2801
234	858	2795
235	861	2789
236	864	2783
237	867	2778
238	869	2767
239	872	2761
240	874	2755
241	877	2749
242	880	2743
243	883	2737
244	885	2730
245	888	2724
246	891	2717
247	894	2712
248	897	2708
249	900	2701
250	903	2695
251	905	2689
252	909	2684
253	912	2679
254	915	2674
255	918	2668
256	921	2664
257	924	2659
258	928	2655
259	930	2649
260	934	2644
261	936	2639
262	939	2633
263	943	2630
264	947	2627
265	950	2622
266	953	2618
267	957	2614
268	960	2609
269	962	2603
270	966	2601
271	970	2597
272	973	2592
273	977	2589
274	980	2583
275	983	2580
276	986	2575
277	989	2570
278	991	2563
279	994	2557
280	997	2551
281	1001	2548
282	1004	2545
283	1007	2539
284	1010	2535
285	1013	2530
286	1016	2525
287	1019	2520
288	1022	2514
289	1025	2510
290	1028	2506
291	1031	2501
292	1035	2498
293	1038	2493
294	1042	2491
295	1046	2488
296	1049	2484
297	1053	2481
298	1057	2478
299	1060	2473
300	1063	2469
301	1067	2466
302	1070	2461
303	1073	2457
304	1076	2453
305	1079	2448
306	1083	2444
307	1085	2439
308	1088	2434
309	1091	2428
310	1093	2423
311	1096	2418
312	1101	2417
313	1103	2411
314	1106	2407
315	1109	2402
316	1113	2399
317	1116	2395
318	1120	2392
319	1124	2388
320	1127	2384
321	1130	2379
322	1133	2376
323	1137	2372
324	1141	2370
325	1144	2365
326	1147	2362
327	1150	2357
328	1154	2354
329	1158	2352
330	1161	2348
331	1165	2345
332	1168	2341
333	1172	2338
334	1176	2334
335	1179	2330
336	1182	2327
337	1186	2323
338	1189	2319
339	1192	2315
340	1195	2310
341	1198	2305
342	1202	2303
343	1205	2298
344	1208	2295
345	1211	2290
346	1214	2286
347	1217	2281
348	1220	2276
349	1223	2271
350	1225	2266
351	1236	2275
352	1239	2272
353	1243	2268
354	1246	2265
355	1249	2261
356	1253	2257
357	1256	2253
358	1260	2249
359	1263	2246
360	1266	2242
361	1270	2238
362	1274	2237
363	1279	2234
364	1284	2235
365	1289	2234
366	1295	2234
367	1299	2231
368	1303	2229
369	1308	2227
370	1311	2223
371	1314	2219
372	1317	2214
373	1320	2210
374	1324	2206
375	1327	2202
376	1330	2198
377	1333	2194
378	1337	2191
379	1340	2186
380	1343	2183
381	1347	2179
382	1350	2175
383	1353	2171
384	1356	2167
385	1359	2162
386	1363	2159
387	1366	2155
388	1369	2150
389	1372	2146
390	1375	2142
391	1379	2139
392	1382	2135
393	1385	2130
394	1387	2125
395	1390	2121
396	1394	2117
397	1397	2113
398	1400	2108
399	1403	2104
400	1406	2100
401	1409	2097
402	1413	2093
403	1416	2089
404	1419	2085
405	1423	2082
406	1426	2078
407	1429	2074
408	1433	2071
409	1437	2068
410	1439	2062
411	1444	2061
412	1447	2056
413	1450	2052
414	1454	2050
415	1456	2045
416	1459	2040
417	1462	2036
418	1464	2031
419	1467	2026
420	1470	2021
421	1474	2019
422	1477	2015
423	1480	2010
424	1484	2008
425	1487	2004
426	1491	2001
427	1494	1997
428	1498	1994
429	1500	1989
430	1504	1985
431	1508	1983
432	1511	1979
433	1515	1976
434	1519	1973
435	1523	1970
436	1526	1967
437	1531	1965
438	1535	1962
439	1538	1957
440	1542	1955
441	1546	1952
442	1549	1948
443	1552	1944
444	1556	1941
445	1560	1938
446	1565	1936
447	1568	1932
448	1571	1928
449	1575	1925
450	1579	1922
451	1582	1919
452	1587	1916
453	1590	1913
454	1594	1910
455	1597	1906
456	1601	1902
457	1604	1898
458	1608	1896
459	1612	1892
460	1615	1888
461	1618	1884
462	1621	1880
463	1624	1877
464	1627	1872
465	1631	1869
466	1634	1865
467	1638	1862
468	1642	1859
469	1644	1854
470	1648	1851
471	1653	1849
472	1657	1847
473	1661	1843
474	1665	1840
475	1669	1837
476	1673	1835
477	1676	1831
478	1680	1828
479	1683	1823
480	1687	1820
481	1690	1816
482	1694	1813
483	1697	1809
484	1700	1805
485	1703	1801
486	1706	1797
487	1710	1794
488	1714	1791
489	1718	1788
490	1721	1784
491	1724	1780
492	1728	1777
493	1731	1773
494	1735	1770
495	1738	1766
496	1742	1763
497	1746	1760
498	1751	1758
499	1755	1755
500	1758	1751
501	1761	1747
502	1764	1743
503	1767	1739
504	1770	1735
505	1773	1731
506	1777	1728
507	1779	1723
508	1782	1719
509	1785	1715
510	1788	1711
511	1792	1708
512	1795	1704
513	1798	1700
514	1802	1697
515	1805	1693
516	1808	1689
517	1811	1685
518	1815	1682
519	1818	1678
520	1821	1674
521	1824	1670
522	1828	1667
523	1831	1663
524	1835	1660
525	1838	1656
526	1842	1653
527	1845	1649
528	1849	1646
529	1853	1643
530	1856	1639
531	1859	1636
532	1862	1632
533	1865	1628
534	1869	1624
535	1872	1621
536	1876	1617
537	1879	1613
538	1882	1610
539	1885	1606
540	1888	1602
541	1891	1598
542	1895	1594
543	1898	1591
544	1901	1587
545	1905	1584
546	1908	1580
547	1911	1576
548	1914	1572
549	1918	1569
550	1921	1566
551	1925	1562
552	1928	1558
553	1931	1555
554	1934	1551
555	1938	1547
556	1941	1543
557	1944	1540
558	1948	1537
559	1950	1532
560	1952	1527
561	1954	1522
562	1956	1518
563	1960	1515
564	1963	1512
565	1967	1508
566	1970	1504
567	1973	1500
568	1977	1497
569	1980	1494
570	1983	1490
571	1987	1487
572	1990	1483
573	1993	1479
574	1997	1476
575	2000	1472
576	2003	1468
577	2006	1465
578	2011	1462
579	2013	1458
580	2017	1454
581	2020	1451
582	2023	1447
583	2027	1444
584	2029	1440
585	2034	1437
586	2037	1433
587	2040	1429
588	2044	1426
589	2047	1423
590	2051	1419
591	2054	1416
592	2058	1412
593	2061	1409
594	2064	1405
595	2066	1401
596	2069	1397
597	2073	1393
598	2076	1390
599	2080	1386
600	2082	1382
601	2085	1379
602	2089	1375
603	2092	1371
604	2095	1367
605	2098	1364
606	2101	1360
607	2104	1357
608	2107	1353
609	2111	1349
610	2114	1346
611	2118	1343
612	2122	1339
613	2125	1336
614	2128	1332
615	2131	1328
616	2134	1325
617	2137	1321
618	2141	1317
619	2144	1314
620	2147	1310
621	2150	1306
622	2153	1302
623	2156	1299
624	2160	1296
625	2164	1293
626	2167	1289
627	2170	1285
628	2173	1282
629	2176	1278
630	2179	1274
631	2183	1271
632	2185	1267
633	2188	1263
634	2192	1260
635	2195	1256
636	2199	1253
637	2202	1249
638	2205	1246
639	2208	1242
640	2212	1239
641	2216	1236
642	2220	1232
643	2223	1228
