,SEASON,PLAYER_ID,PLAYER,GP,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS_x,NBA_FANTASY_PTS,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,TEAM_ID,TEAM_NAME,GP_TEAM,FGM_TEAM,FGA_TEAM,FG3M_TEAM,FG3A_TEAM,FTM_TEAM,FTA_TEAM,OREB_TEAM,DREB_TEAM,REB_TEAM,AST_TEAM,TOV_TEAM,STL_TEAM,BLK_TEAM,PF_TEAM,PTS_TEAM,PLUS_MINUS_y,PPG,PACE,uPER,aPER,nPER
0,2023,1630552,Jalen Johnson,56,27,29,1888.8666666666666,359,702,71,200,107,147,74,414,488,203,101,67,47,133,896,-76,2027.1,F,6-8,219,"DEC 18, 2001",22.0,2,Duke,#20 Pick in 2021 Draft,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,16.0,100.84,21.732142857142858,21.36785720188512,30.49140943532743
1,2023,1630235,Trent Forrest,38,18,20,413.76166666666666,34,90,2,10,13,17,11,40,51,92,20,11,3,25,83,-94,304.2,G,6-4,210,"JUN 12, 1998",26.0,3,Florida State,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,2.1842105263157894,100.84,4.2105263157894735,4.139947250116565,5.907603436849323
2,2023,1641754,Seth Lundy,9,2,7,51.983333333333334,4,17,3,13,3,4,1,6,7,0,1,0,0,6,14,-13,21.4,G-F,6-4,220,"APR 02, 2000",24.0,R,Penn State,#46 Pick in 2023 Draft,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,1.5555555555555556,100.84,0.6666666666666666,0.6554916479351227,0.9353705441678093
3,2023,1641723,Kobe Bufkin,17,8,9,196.00333333333333,34,92,9,40,4,8,6,27,33,27,10,7,5,20,81,-35,187.1,G,6-5,195,"SEP 21, 2003",20.0,R,Michigan,#15 Pick in 2023 Draft,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,4.764705882352941,100.84,4.764705882352941,4.684837366124554,6.685148300964049
4,2023,1627749,Dejounte Murray,78,34,44,2783.3433333333332,672,1463,201,554,208,262,62,354,416,502,201,111,24,138,1753,-154,3209.2,G,6-5,180,"SEP 19, 1996",27.0,6,Washington,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,22.474358974358974,100.84,22.564102564102566,22.18587116088108,31.658695341064323
5,2023,1629027,Trae Young,54,22,32,1941.7133333333334,433,1008,175,469,348,407,23,126,149,583,235,72,11,109,1389,-116,2456.3,G,6-1,164,"SEP 19, 1998",25.0,5,Oklahoma,Draft Rights Traded from DAL on 06/21/18,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,25.72222222222222,100.84,24.72222222222222,24.307815277594138,34.68665767955627
6,2023,1629631,De'Andre Hunter,57,26,31,1681.0933333333332,304,663,117,304,166,196,31,191,222,87,83,40,16,146,891,-49,1372.9,F-G,6-8,221,"DEC 02, 1997",26.0,4,Virginia,Draft Rights Traded from NOP on 07/07/19,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,15.631578947368421,100.84,13.75438596491228,13.523827683714112,19.29817122704112
7,2023,203992,Bogdan Bogdanović,79,35,44,2401.4083333333333,471,1100,240,641,151,164,53,219,272,247,112,96,26,179,1333,127,2283.9,G,6-5,225,"AUG 18, 1992",31.0,6,Fenerbahce,Signed on 11/25/20,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,16.873417721518987,100.84,15.443037974683545,15.184173616724996,21.667444250975837
8,2023,1631100,AJ Griffin,20,8,12,170.73,18,62,10,39,2,2,2,16,18,5,8,1,2,6,48,-51,78.1,F,6-6,220,"AUG 25, 2003",20.0,1,Duke,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,2.4,100.84,1.1,1.0815612190929527,1.5433613978768856
9,2023,203991,Clint Capela,73,33,40,1883.0866666666666,353,618,0,1,130,206,335,441,776,91,74,43,106,164,836,-17,2276.7,C,6-10,256,"MAY 18, 1994",30.0,9,Elan Chalon,Traded from HOU on 02/05/20,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,11.452054794520548,100.84,19.684931506849313,19.354962289372015,27.61905764320155
