TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Jalen Johnson,SF,Jan 9,Day-To-Day,"Jan 7: Johnson (shoulder) has been ruled out for Tuesday's game against the Jazz, Brad Rowland of the Locked On Podcast Network reports.",2025-01-08
Atlanta Hawks,Cody Zeller,C,Jan 9,Out,"Jan 6: Zeller (personal) has been ruled out for Tuesday's game against Utah, Brad Rowland of the Locked On Podcast Network reports.",2025-01-08
Atlanta Hawks,Larry Nance Jr.,PF,Feb 20,Out,"Jan 3: Nance underwent surgery Thursday to repair the fractured fourth metacarpal bone in his right hand and will be re-evaluated in two weeks, Brad Rowland of the Locked On Podcast Network reports.",2025-01-08
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-01-08
Boston Celtics,Derrick White,PG,Jan 10,Out,"Jan 7: White (illness) won't play in Tuesday's game versus the Nuggets, Taylor Snow of the Celtics' official site reports.",2025-01-08
Boston Celtics,Jordan Walsh,G,Jan 10,Out,"Jan 7: Walsh (illness) won't play in Tuesday's game against the Nuggets, Taylor Snow of the Celtics' official site reports.",2025-01-08
Brooklyn Nets,Bojan Bogdanovic,SF,Jan 14,Out,Jan 7: Bogdanovic (foot) won't play in Wednesday's game versus the Pistson.,2025-01-08
Brooklyn Nets,Ben Simmons,PG,Jan 8,Out,"Jan 7: Simmons (calf/back) is listed as questionable for Wednesday's game versus the Pistons, Erik Slater of ClutchPoints.com reports.",2025-01-08
Brooklyn Nets,D'Angelo Russell,G,Jan 10,Out,"Jan 7: Russell (shin) has been ruled out for Wednesday's game against the Pistons, Erik Slater of ClutchPoints.com reports.",2025-01-08
Brooklyn Nets,Trendon Watford,PF,Jan 12,Out,Jan 4: The Nets announced Saturday that Watford (hamstring) has resumed individual on-court workouts and his status will be updated in one week.,2025-01-08
Brooklyn Nets,Cameron Johnson,SF,Jan 10,Out,"Jan 4: Johnson (ankle) won't play in Saturday's game versus the 76ers, Adam Aaronson of PhillyVoice.com reports.",2025-01-08
Brooklyn Nets,Cam Thomas,SG,Jan 21,Out,"Jan 4: Thomas (hamstring) won't play in Saturday's game versus the 76ers, Adam Aaronson of PhillyVoice.com reports.",2025-01-08
Brooklyn Nets,Maxwell Lewis,F,Feb 20,Out,"Jan 3: The Nets announced Friday that Lewis has suffered a fractured left tibia and his return timetable is to be determined, Erik Slater of ClutchPoints.com reports.",2025-01-08
Chicago Bulls,Torrey Craig,SF,Jan 10,Out,Jan 7: Craig (lower leg) has been ruled out for Wednesday's game against the Pacers.,2025-01-08
Chicago Bulls,Ayo Dosunmu,SG,Jan 14,Out,"Jan 6: Head coach Billy Donovan said Monday that Dosnumu (calf) is expected to need at least one more week of rehab before progressing to sprinting, Cody Westerlund of 670TheScore.com reports.",2025-01-08
Cleveland Cavaliers,Sam Merrill,SG,Jan 8,Out,"Jan 7: Merrill (ankle) is questionable for Wednesday's game against the Thunder, Spencer Davies of SI.com reports.",2025-01-08
Cleveland Cavaliers,Isaac Okoro,SF,Jan 8,Out,"Jan 7: Okoro (shoulder) is questionable for Wednesday's game against the Thunder, Spencer Davies of SI.com reports.",2025-01-08
Cleveland Cavaliers,Luke Travers,G,Jan 9,Out,"Dec 21: Travers signed a two-way contract with the Cavaliers on Wednesday, Adrian Wojnarowski of ESPN reports.",2025-01-08
Dallas Mavericks,Daniel Gafford,C,Jan 14,Out,Jan 7: Gafford (ankle) has been ruled out for Tuesday's game against the Lakers.,2025-01-08
Dallas Mavericks,Dante Exum,G,Jan 20,Out,Jan 7: Exum (wrist) remains listed as out for Tuesday's game against the Lakers.,2025-01-08
Dallas Mavericks,Kyrie Irving,PG,Jan 20,Out,"Jan 6: Irving has a bulging disc in his back and is expected to miss at least one-to-two weeks, ESPN's Shams Charania reports.",2025-01-08
Dallas Mavericks,Luka Doncic,PG,Feb 2,Out,"Dec 27: Doncic will be re-evaluated in a month after sustaining a left calf strain on Christmas Day against the Timberwolves, Shams Charania of ESPN reports.",2025-01-08
Denver Nuggets,Nikola Jokic,C,Jan 8,Out,"Jan 7: Jokic (illness) has been ruled out for Tuesday's game against the Celtics, Bennett Durando of The Denver Post reports.",2025-01-08
Denver Nuggets,Spencer Jones,F,Jan 8,Out,"Jan 6: Jones (thigh) is out for Tuesday's game against the Celtics, Vinny Benedetto of The Denver Gazette reports.",2025-01-08
Denver Nuggets,Aaron Gordon,PF,Jan 8,Out,"Jan 6: Gordon (calf) will not play Tuesday against Boston, Vinny Benedetto of The Denver Gazette reports.",2025-01-08
Denver Nuggets,Vlatko Cancar,SF,Feb 20,Out,"Dec 4: Cancar (knee) will be re-evaluated in 8 weeks following left knee surgery, Ryan Blackburn of MileHighSports.com reports.",2025-01-08
Denver Nuggets,DaRon Holmes II,C,Jul 1,Out,,2025-01-08
Detroit Pistons,Ausar Thompson,F,Jan 9,Out,Jan 7: Thompson (illness) will not play in Wednesday's matchup against Brooklyn.,2025-01-08
Detroit Pistons,Jaden Ivey,PG,Mar 1,Out,"Jan 2: The Pistons announced Thursday that Ivey underwent successful surgery to repair a broken fibula in his left leg and he will be re-evaluated in four weeks, Keith Langlois of the Pistons' official site reports.",2025-01-08
Golden State Warriors,Brandin Podziemski,G,Jan 9,Out,Jan 6: Podziemski (abdomen) has been ruled out for Tuesday's game against the Heat.,2025-01-08
Golden State Warriors,Jonathan Kuminga,PF,Feb 3,Out,"Jan 5: Kuminga will be re-evaluated in three weeks for a right ankle sprain that he suffered during the Warriors' 121-113 win over the Grizzlies on Saturday, Anthony Slater of The Athletic reports.",2025-01-08
Golden State Warriors,Gary Payton II,SG,Jan 13,Out,"Jan 4: Payton (calf) will re-evaluated in one week, the Warriors announced Saturday.",2025-01-08
Houston Rockets,Fred VanVleet,PG,Jan 9,Day-To-Day,"Jan 7: VanVleet (undisclosed) exited to the locker room in the final minutes of the fourth quarter during Tuesday's 135-112 win over the Wizards, Adam Spolane of Sports Radio 610 Houston reports. He finished with 19 points (7-15 FG, 2-9 3Pt, 3-3 FT), 12 assists, four steals, one rebound and one block across 38 minutes.",2025-01-08
Houston Rockets,Tari Eason,F,Jan 9,Out,"Jan 7: Eason (leg) has been ruled out for tonight's game against the Wizards, Vanessa Richardson of Space City Home Network reports.",2025-01-08
Houston Rockets,Jabari Smith Jr.,PF,Feb 21,Out,"Jan 3: The Rockets announced Friday that Smith broke his left hand in shootaround and will be re-evaluated in 4-6 weeks, Michael Shapiro of SI.com reports.",2025-01-08
Indiana Pacers,Tyrese Haliburton,PG,Jan 8,Day-To-Day,Jan 7: Haliburton (ankle) is questionable for Wednesday's game versus Chicago.,2025-01-08
Indiana Pacers,Aaron Nesmith,SF,Jan 12,Out,"Jan 4: Coach Rick Carlisle said Saturday that Nesmith (ankle) has been getting in some five-on-five work but will still need time to work on his conditioning, Dustin Dopirak of The Indianapolis Star reports.",2025-01-08
Indiana Pacers,Isaiah Jackson,SF,Oct 1,Out,"Nov 2: Jackson suffered a torn Achilles during Friday's game against the Pelicans, Shams Charania of ESPN reports.",2025-01-08
Indiana Pacers,James Wiseman,C,Oct 1,Out,"Oct 25: Wiseman underwent successful surgery to repair a torn left Achilles on Thursday, Shams Charania of ESPN reports.",2025-01-08
LA Clippers,P.J. Tucker,PF,Feb 8,Out,"Oct 20: The Clippers announced Sunday that Tucker will not be with the team moving forward, Joey Linn of SI.com reports.",2025-01-08
Los Angeles Lakers,Cam Reddish,SF,Jan 9,Day-To-Day,"Jan 7: Reddish (back) has been ruled out for Tuesday's game against Dallas, Dave McMenamin of ESPN.com reports.",2025-01-08
Los Angeles Lakers,Jarred Vanderbilt,PF,Jan 15,Out,"Jan 7: Vanderbilt (foot) participated in 5-on-5 practice Monday, Jovan Buha of The Athletic reports.",2025-01-08
Los Angeles Lakers,Christian Wood,F,Jan 9,Out,"Jan 6: Wood (knee) remains out for Tuesday's game versus the Mavericks, Dan Woike of the Los Angeles Times reports.",2025-01-08
Los Angeles Lakers,Jalen Hood-Schifino,G,Jan 9,Out,"Jan 6: Hood-Schifino (hamstring) will remain sidelined for Tuesday's game against the Mavericks, Dan Woike of the Los Angeles Times reports.",2025-01-08
Memphis Grizzlies,GG Jackson II,F,Jan 13,Out,Jan 7: The Grizzlies assigned Jackson to the G League's Memphis Hustle on Tuesday.,2025-01-08
Memphis Grizzlies,Desmond Bane,SG,Jan 9,Day-To-Day,Jan 7: Bane (ankle) won't play Monday against the Mavericks.,2025-01-08
Memphis Grizzlies,Santi Aldama,PF,Jan 9,Out,"Jan 5: Aldama (ankle) has been ruled out for Monday's game against the Mavericks, Grant Afseth of DallasHoopsJournal.com reports.",2025-01-08
Memphis Grizzlies,Ja Morant,PG,Jan 9,Out,"Jan 5: Morant (shoulder) is out for Monday's game against the Mavericks, Grant Afseth of DallasHoopsJournal.com reports.",2025-01-08
Memphis Grizzlies,Marcus Smart,PG,Jan 11,Out,Dec 28: Smart was diagnosed with a partial tear of the proximal extensor hood of his right index finger and will be re-evaluated in two weeks.,2025-01-08
Memphis Grizzlies,Vince Williams Jr.,G,Jan 11,Out,Dec 20: Williams is progressing well in his recovery from a Grade 3 right ankle sprain and the team expects him to return to game action in 3-to-6 weeks.,2025-01-08
Miami Heat,Josh Richardson,SG,Jan 9,Out,"Jan 7: Richardson (heel) has been ruled out for Tuesday's game against the Warriors, Ohm Youngmisuk of ESPN.com reports.",2025-01-08
