TeamID,SEASON,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,GROUP_SET,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,team_id
1610612737,2023,Jalen Johnson,jalen-johnson,1.0,F,6-8,219,"DEC 18, 2001",22.0,2,Duke,1630552,#20 Pick in 2021 Draft,Players,Jalen Johnson,56,27,29,0.482,1888.8666666666663,359,702,0.511,71,200,0.355,107,147,0.728,74,414,488,203,101,67,47,51,133,124,896,-76,2027.1,19,1,7,6,11,2,5,4,4,5,7,6,9,7,7,14,4,2,2,4,4,4,3,15,14,7,4,14,5,4,1,1610612737
1610612737,2023,Trent Forrest,trent-forrest,2.0,G,6-4,210,"JUN 12, 1998",25.0,3,Florida State,1630235,Signed on 08/08/22,Players,Trent Forrest,38,18,20,0.474,413.76166666666666,34,90,0.378,2,10,0.2,13,17,0.765,11,40,51,92,20,11,3,5,25,15,83,-94,304.2,0,0,11,11,8,3,12,12,14,13,17,16,17,12,12,11,11,13,13,5,10,13,15,6,7,12,13,15,12,9,3,1610612737
1610612737,2023,Seth Lundy,seth-lundy,3.0,G-F,6-4,220,"APR 02, 2000",24.0,R,Penn State,1641754,#46 Pick in 2023 Draft,Players,Seth Lundy,9,2,7,0.222,51.98333333333333,4,17,0.235,3,13,0.231,3,4,0.75,1,6,7,0,1,0,0,2,6,3,14,-13,21.4,0,0,17,18,3,19,19,19,19,19,15,15,15,16,16,12,19,19,19,19,18,19,18,3,2,17,19,3,19,9,3,1610612737
1610612737,2023,Kobe Bufkin,kobe-bufkin,4.0,G,6-5,195,"SEP 21, 2003",20.0,R,Michigan,1641723,#15 Pick in 2023 Draft,Players,Kobe Bufkin,17,8,9,0.471,196.00333333333333,34,92,0.37,9,40,0.225,4,8,0.5,6,27,33,27,10,7,5,7,20,8,81,-35,187.1,0,0,16,15,4,5,15,12,13,15,13,11,16,15,13,17,15,14,14,13,13,15,13,9,6,14,14,8,14,9,3,1610612737
1610612737,2023,Dejounte Murray,dejounte-murray,5.0,G,6-5,180,"SEP 19, 1996",27.0,6,Washington,1627749,Traded from SAS on 06/30/22,Players,Dejounte Murray,78,34,44,0.436,2783.343333333333,672,1463,0.459,201,554,0.363,208,262,0.794,62,354,416,502,201,111,24,69,138,192,1753,-154,3209.2,20,1,2,2,18,12,1,1,1,7,2,2,8,2,2,9,5,3,3,2,2,1,6,18,15,3,1,19,1,3,1,1610612737
1610612737,2023,Trae Young,trae-young,11.0,G,6-1,164,"SEP 19, 1998",25.0,5,Oklahoma,1629027,Draft Rights Traded from DAL on 06/21/18,Players,Trae Young,54,22,32,0.407,1941.7133333333331,433,1008,0.43,175,469,0.373,348,407,0.855,23,126,149,583,235,72,11,54,109,346,1389,-116,2456.3,37,0,9,9,13,15,4,3,3,10,3,3,7,1,1,3,9,9,9,1,1,3,8,17,12,1,2,18,2,2,3,1610612737
1610612737,2023,De'Andre Hunter,deandre-hunter,12.0,F-G,6-8,221,"DEC 02, 1997",26.0,4,Virginia,1629631,Draft Rights Traded from NOP on 07/07/19,Players,De'Andre Hunter,57,26,31,0.456,1681.0933333333332,304,663,0.459,117,304,0.385,166,196,0.847,31,191,222,87,83,40,16,29,146,193,891,-49,1372.9,3,0,6,7,12,6,7,6,6,8,4,5,4,4,5,4,8,7,7,8,5,7,7,13,16,2,5,11,7,7,3,1610612737
1610612737,2023,Bogdan Bogdanovic,bogdan-bogdanovic,13.0,G,6-5,225,"AUG 18, 1992",31.0,6,Fenerbahce,203992,Signed on 11/25/20,Players,Bogdan Bogdanovic,79,35,44,0.443,2401.4083333333333,471,1100,0.428,240,641,0.374,151,164,0.921,53,219,272,247,112,96,26,51,179,127,1333,127,2283.9,1,0,1,1,18,10,2,2,2,11,1,1,6,5,6,2,7,6,6,3,3,2,5,15,19,6,3,1,3,8,3,1610612737
1610612737,2023,AJ Griffin,aj-griffin,14.0,F,6-6,220,"AUG 25, 2003",20.0,1,Duke,1631100,#16 Pick in 2022 Draft,Players,AJ Griffin,20,8,12,0.4,170.73,18,62,0.29,10,39,0.256,2,2,1.0,2,16,18,5,8,1,2,3,6,1,48,-51,78.1,0,0,14,15,6,16,16,16,15,18,12,12,14,17,17,1,18,15,17,16,14,18,16,4,2,18,16,12,17,9,3,1610612737
1610612737,2023,Clint Capela,clint-capela,15.0,C,6-10,256,"MAY 18, 1994",30.0,9,Elan Chalon,203991,Traded from HOU on 02/05/20,Players,Clint Capela,73,33,40,0.452,1883.0866666666664,353,618,0.571,0,1,0.0,130,206,0.631,335,441,776,91,74,43,106,69,164,170,836,-17,2276.7,38,0,3,3,17,7,6,5,7,3,18,19,18,6,3,16,1,1,1,7,6,6,1,18,18,4,7,4,4,1,3,1610612737
