GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,2544,LeBron James,LeBron,71,41,30,0.577,2503.6833333333334,685,1269,0.54,149,363,0.41,303,404,0.75,61,457,518,589,245,89,38,59,78,308,1822,218,3463.1,27,5,3332.0,5,5,17,8,3,2,2,4,3,3,4,2,2,9,3,2,2,1,1,2,2,20,15,2,2,1,2,2,1,2
Players,101108,Chris Paul,Chris,58,33,25,0.569,1530.89,206,467,0.441,78,210,0.371,43,52,0.827,18,207,225,393,76,70,6,12,108,58,533,110,1544.5,5,0,1381.0,10,10,9,12,6,7,6,13,5,5,6,11,11,5,13,9,10,1,8,1,12,7,9,11,7,5,7,5,2,7
Players,200768,Kyle Lowry,Kyle,37,21,16,0.568,1037.0633333333333,103,242,0.426,62,161,0.385,35,42,0.833,25,104,129,147,53,39,15,13,94,62,303,13,787.3,1,0,749.0,12,12,8,7,9,12,12,15,10,10,8,11,12,11,9,11,12,6,7,7,8,13,15,9,12,12,12,7,3,12
Players,200782,P.J. Tucker,P.J.,28,11,17,0.393,419.9716666666667,16,45,0.356,11,30,0.367,3,3,1.0,27,44,71,16,6,13,5,2,45,10,46,-52,203.2,0,0,180.0,14,14,9,21,12,14,15,18,12,12,8,14,14,1,10,12,11,14,14,12,13,6,9,13,14,17,14,11,4,14
Players,201142,Kevin Durant,Kevin,75,44,31,0.587,2790.6366666666668,751,1436,0.523,168,407,0.413,362,423,0.856,41,454,495,378,244,69,91,49,133,361,2032,291,3429.0,14,1,3393.0,2,3,21,17,1,1,1,5,2,3,6,2,2,7,7,2,2,2,1,2,1,21,19,1,1,3,1,2,1,1
Players,201143,Al Horford,Al,65,51,14,0.785,1739.7966666666666,214,419,0.511,108,258,0.419,26,30,0.867,82,331,413,168,48,38,62,11,93,29,562,421,1561.6,3,0,1451.0,7,7,11,11,7,8,8,6,8,8,6,9,9,5,5,2,2,6,7,8,3,10,12,9,8,6,7,6,3,7
Players,201144,Mike Conley,Mike,76,53,23,0.697,2193.458333333333,294,644,0.457,179,405,0.442,102,112,0.911,37,181,218,449,102,88,17,15,128,118,869,274,2017.1,5,0,1925.0,5,5,13,9,3,6,4,12,2,3,2,5,6,1,7,6,7,1,5,2,8,12,12,4,5,5,5,5,1,5
Players,201145,Jeff Green,Jeff,78,39,39,0.5,1307.3383333333334,167,366,0.456,53,160,0.331,122,149,0.819,46,132,178,70,46,16,31,16,100,103,509,-77,922.6,0,0,904.0,2,2,15,8,7,9,9,9,7,7,11,6,6,6,7,9,9,8,8,12,6,6,9,7,9,16,9,10,4,9
Players,201152,Thaddeus Young,Thaddeus,23,6,17,0.261,350.14166666666665,54,87,0.621,1,6,0.167,5,12,0.417,29,46,75,50,11,18,3,8,38,12,114,-29,331.0,0,0,282.0,20,15,11,17,20,19,20,2,23,23,25,21,21,26,9,20,18,14,22,16,22,13,14,20,20,10,19,12,2,20
Players,201565,Derrick Rose,Derrick,24,6,18,0.25,399.3366666666666,76,165,0.461,15,41,0.366,24,27,0.889,7,38,45,78,31,8,2,15,21,31,191,-33,361.0,0,0,349.0,14,17,20,22,19,16,17,9,15,17,7,14,17,4,23,19,19,10,15,19,24,21,15,15,16,16,20,15,1,20
